Time	EMG	Muscle Force
0	0	0.280714
0.001	0	0.280714
0.002	0	0.280341
0.003	0	0.280341
0.004	0	0.280341
0.005	0	0.280341
0.006	0	0.280341
0.007	0	0.279967
0.008	0	0.279967
0.009	0	0.279967
0.01	0	0.279594
0.011	0	0.279594
0.012	0	0.279594
0.013	0	0.27922
0.014	0	0.27922
0.015	0	0.27922
0.016	0	0.278847
0.017	0	0.278847
0.018	0	0.278847
0.019	0	0.278473
0.02	0	0.278473
0.021	0	0.278473
0.022	0	0.278473
0.023	0	0.278473
0.024	0	0.278473
0.025	0	0.278099
0.026	0	0.278099
0.027	0	0.278099
0.028	0	0.278099
0.029	0	0.278099
0.03	0	0.278099
0.031	0	0.277726
0.032	0	0.277726
0.033	0	0.277726
0.034	0	0.277726
0.035	0	0.277726
0.036	0	0.277726
0.037	0	0.277726
0.038	0	0.277726
0.039	0	0.277352
0.04	0	0.277726
0.041	0	0.277726
0.042	0	0.277352
0.043	0	0.277352
0.044	0	0.277352
0.045	0	0.277352
0.046	0	0.277352
0.047	0	0.277352
0.048	0	0.277352
0.049	0	0.277352
0.05	0	0.277352
0.051	0.0100573	0.277352
0.052	0.0445808	0.277352
0.053	0.0292908	0.277352
0.054	-0.0625164	0.277352
0.055	-0.0492633	0.277352
0.056	0.0177355	0.277352
0.057	0.0518441	0.277352
0.058	0.0438988	0.277352
0.059	0.000217726	0.277352
0.06	-0.0529585	0.277352
0.061	-0.0710365	0.277352
0.062	0.0242622	0.277352
0.063	0.0658795	0.277352
0.064	0.0229182	0.277352
0.065	-0.0241852	0.277352
0.066	-0.0445725	0.277352
0.067	-0.016856	0.277352
0.068	0.031314	0.277352
0.069	0.0619524	0.277352
0.07	0.00236069	0.277352
0.071	-0.068085	0.277352
0.072	-0.0403792	0.277352
0.073	0.020204	0.277352
0.074	0.04003	0.277352
0.075	0.0329384	0.277352
0.076	-0.00569946	0.277352
0.077	-0.0487107	0.277352
0.078	-0.0385154	0.277352
0.079	0.0531165	0.277352
0.08	0.0437279	0.277352
0.081	-0.00686634	0.277352
0.082	-0.0387329	0.277352
0.083	-0.0413932	0.277352
0.084	-0.00184203	0.277352
0.085	0.0490567	0.277352
0.086	0.0656993	0.277352
0.087	-0.0343641	0.277352
0.088	-0.0738099	0.277352
0.089	-0.0115546	0.277352
0.09	0.0446058	0.277352
0.091	0.0431615	0.276978
0.092	0.0121677	0.276978
